=== DA_UAV_v1 loading log ===

Loaded:          623
[WARN   ] cand21/seed6/none/dpcc-c: no per-rollout timing found — avg_time / fm_ms / proj_ms are NaN. The npz never carries timing; it needs diagnostics/*.json.
[WARN   ] cand21/seed6/none/dpcc-r: no per-rollout timing found — avg_time / fm_ms / proj_ms are NaN. The npz never carries timing; it needs diagnostics/*.json.
[WARN   ] cand21/seed6/none/dpcc-t: no per-rollout timing found — avg_time / fm_ms / proj_ms are NaN. The npz never carries timing; it needs diagnostics/*.json.
[WARN   ] cand26/seed6/none/fm_only: no per-rollout timing found — avg_time / fm_ms / proj_ms are NaN. The npz never carries timing; it needs diagnostics/*.json.
[WARN   ] cand27/seed6/none/fm_only: no per-rollout timing found — avg_time / fm_ms / proj_ms are NaN. The npz never carries timing; it needs diagnostics/*.json.
[WARN   ] cand29/seed6/corridor_bounds+dynamics+geo_bounds+halfspace+obstacles/hardflow_new-c: HardFlow arm is DEGENERATE (K=1, A=0.5, n_genuine=0) — this row is sample-then-project, not HardFlow. Do not label it a HardFlow result. See logs_in_develop/aggregated_hardflow_lowK/
[WARN   ] cand29/seed6/corridor_bounds+dynamics+geo_bounds+halfspace+obstacles/hardflow_new-r: HardFlow arm is DEGENERATE (K=1, A=0.5, n_genuine=0) — this row is sample-then-project, not HardFlow. Do not label it a HardFlow result. See logs_in_develop/aggregated_hardflow_lowK/
[WARN   ] cand29/seed6/corridor_bounds+dynamics+geo_bounds+halfspace+obstacles/hardflow_new-t: HardFlow arm is DEGENERATE (K=1, A=0.5, n_genuine=0) — this row is sample-then-project, not HardFlow. Do not label it a HardFlow result. See logs_in_develop/aggregated_hardflow_lowK/
[WARN   ] cand30/seed6/corridor_bounds+dynamics+geo_bounds+halfspace+obstacles/hardflow_new-c: HardFlow arm is DEGENERATE (K=2, A=0.5, n_genuine=0) — this row is sample-then-project, not HardFlow. Do not label it a HardFlow result. See logs_in_develop/aggregated_hardflow_lowK/
[WARN   ] cand30/seed6/corridor_bounds+dynamics+geo_bounds+halfspace+obstacles/hardflow_new-r: HardFlow arm is DEGENERATE (K=2, A=0.5, n_genuine=0) — this row is sample-then-project, not HardFlow. Do not label it a HardFlow result. See logs_in_develop/aggregated_hardflow_lowK/
[WARN   ] cand30/seed6/corridor_bounds+dynamics+geo_bounds+halfspace+obstacles/hardflow_new-t: HardFlow arm is DEGENERATE (K=2, A=0.5, n_genuine=0) — this row is sample-then-project, not HardFlow. Do not label it a HardFlow result. See logs_in_develop/aggregated_hardflow_lowK/
[WARN   ] cand33/seed6/corridor_bounds+dynamics+geo_bounds+halfspace+obstacles/hardflow_new: HardFlow arm is DEGENERATE (K=1, A=0.5, n_genuine=0) — this row is sample-then-project, not HardFlow. Do not label it a HardFlow result. See logs_in_develop/aggregated_hardflow_lowK/
[WARN   ] cand33/seed6/corridor_bounds+dynamics+geo_bounds+halfspace+obstacles/hardflow_new-c: HardFlow arm is DEGENERATE (K=1, A=0.5, n_genuine=0) — this row is sample-then-project, not HardFlow. Do not label it a HardFlow result. See logs_in_develop/aggregated_hardflow_lowK/
[WARN   ] cand33/seed6/corridor_bounds+dynamics+geo_bounds+halfspace+obstacles/hardflow_new-t: HardFlow arm is DEGENERATE (K=1, A=0.5, n_genuine=0) — this row is sample-then-project, not HardFlow. Do not label it a HardFlow result. See logs_in_develop/aggregated_hardflow_lowK/
[WARN   ] cand35/seed6/corridor_bounds+dynamics+geo_bounds+halfspace+obstacles/hardflow_new: HardFlow arm is DEGENERATE (K=2, A=0.5, n_genuine=0) — this row is sample-then-project, not HardFlow. Do not label it a HardFlow result. See logs_in_develop/aggregated_hardflow_lowK/
[WARN   ] cand35/seed6/corridor_bounds+dynamics+geo_bounds+halfspace+obstacles/hardflow_new-c: HardFlow arm is DEGENERATE (K=2, A=0.5, n_genuine=0) — this row is sample-then-project, not HardFlow. Do not label it a HardFlow result. See logs_in_develop/aggregated_hardflow_lowK/
[WARN   ] cand35/seed6/corridor_bounds+dynamics+geo_bounds+halfspace+obstacles/hardflow_new-t: HardFlow arm is DEGENERATE (K=2, A=0.5, n_genuine=0) — this row is sample-then-project, not HardFlow. Do not label it a HardFlow result. See logs_in_develop/aggregated_hardflow_lowK/
[WARN   ] cand38/seed6/corridor_bounds+dynamics+geo_bounds+halfspace+obstacles/hardflow_new: HardFlow arm is DEGENERATE (K=1, A=0.5, n_genuine=0) — this row is sample-then-project, not HardFlow. Do not label it a HardFlow result. See logs_in_develop/aggregated_hardflow_lowK/
[WARN   ] cand38/seed6/corridor_bounds+dynamics+geo_bounds+halfspace+obstacles/hardflow_new-c: HardFlow arm is DEGENERATE (K=1, A=0.5, n_genuine=0) — this row is sample-then-project, not HardFlow. Do not label it a HardFlow result. See logs_in_develop/aggregated_hardflow_lowK/
[WARN   ] cand38/seed6/corridor_bounds+dynamics+geo_bounds+halfspace+obstacles/hardflow_new-t: HardFlow arm is DEGENERATE (K=1, A=0.5, n_genuine=0) — this row is sample-then-project, not HardFlow. Do not label it a HardFlow result. See logs_in_develop/aggregated_hardflow_lowK/
[WARN   ] cand40/seed6/corridor_bounds+dynamics+geo_bounds+halfspace+obstacles/hardflow_new: HardFlow arm is DEGENERATE (K=2, A=0.5, n_genuine=0) — this row is sample-then-project, not HardFlow. Do not label it a HardFlow result. See logs_in_develop/aggregated_hardflow_lowK/
[WARN   ] cand40/seed6/corridor_bounds+dynamics+geo_bounds+halfspace+obstacles/hardflow_new-c: HardFlow arm is DEGENERATE (K=2, A=0.5, n_genuine=0) — this row is sample-then-project, not HardFlow. Do not label it a HardFlow result. See logs_in_develop/aggregated_hardflow_lowK/
[WARN   ] cand40/seed6/corridor_bounds+dynamics+geo_bounds+halfspace+obstacles/hardflow_new-t: HardFlow arm is DEGENERATE (K=2, A=0.5, n_genuine=0) — this row is sample-then-project, not HardFlow. Do not label it a HardFlow result. See logs_in_develop/aggregated_hardflow_lowK/
